"scenario_id","lane","objective","sheet_setup","cell_formula_or_action","comparison_cells","op_setup","op_action","op_primary_cell","op_observe_cells","expected_observable_class","capture_fields","status","model_targets","notes"
"FP2-001","FP-A","Signed zero via direct literal","none","A1 formula: =-0","none","A1:==-0","calculate","A1","A1","Numeric zero display with potential sign normalization","display_value;formula_bar;text_export","seed","excel;lean-runtime","Verify whether Excel preserves negative sign in formula bar/export."
"FP2-002","FP-A","Signed zero via arithmetic identity","none","A1 formula: =0*-1","none","A1:==0*-1","calculate","A1","A1","Numeric zero display with potential sign normalization","display_value;formula_bar","seed","excel;lean-runtime","Checks generated negative zero style path."
"FP2-003","FP-A","Negative underflow candidate","none","A1 formula: =-1E-307/1E20","none","A1:==-1E-307/1E20","calculate","A1","A1","Underflow to zero or subnormal retention","display_value;scientific_format;dependent_ISNUMBER","seed","excel;lean-runtime","Boundary candidate for sign + underflow."
"FP2-004","FP-A","Overflow candidate","none","A1 formula: =(10^307)*10","none","A1:==(10^307)*10","calculate","A1","A1","Worksheet error mapping for overflow","error_code;display_value","seed","excel;lean-runtime","Expected Excel-normalized error path."
"FP2-005","FP-A","Invalid operation candidate (0/0)","none","A1 formula: =0/0","none","A1:==0/0","calculate","A1","A1","Worksheet error mapping for invalid operation","error_code;display_value","seed","excel;lean-runtime","Compare with infinity-style divisions."
"FP2-006","FP-A","Positive division by zero","none","A1 formula: =1/0","none","A1:==1/0","calculate","A1","A1","Worksheet error mapping for division by zero","error_code;display_value","seed","excel;lean-runtime","Classify separately from 0/0 if needed."
"FP2-007","FP-A","Negative division by zero","none","A1 formula: =-1/0","none","A1:==-1/0","calculate","A1","A1","Worksheet error mapping for division by zero","error_code;display_value","seed","excel;lean-runtime","Check sign-sensitive divergence."
"FP2-008","FP-A","Subnormal literal ingestion","none","A1 formula: =1E-307/1000","none","A1:==1E-307/1000","calculate","A1","A1","Literal normalization/retention behavior","display_value;scientific_format;dependent_multiplication","seed","excel;lean-runtime","Probe if value survives as nonzero in dependent operations."
"FP2-009","FP-A","Very small negative literal ingestion","none","A1 formula: =-1E-307/1000","none","A1:==-1E-307/1000","calculate","A1","A1","Literal normalization/retention with sign","display_value;scientific_format;dependent_abs","seed","excel;lean-runtime","Pair with FP2-008 for sign behavior."
"FP2-010","FP-A","Text coercion near edge","none","A1 formula: =VALUE(""1E-307"")/1000","none","A1:==VALUE(""1E-307"")/1000","calculate","A1","A1","Coercion path for tiny values","display_value;error_code;dependent_compare","seed","excel;lean-runtime","Tests parser/coercion lane separately from literal parse."
"FP2-011","FP-B","Reference propagation of signed-zero candidate","A1 formula: =-0","B1 formula: =A1","C1 formula: =B1=0","A1:==-0|B1:==A1|C1:==B1=0","calculate","A1","A1|B1|C1","Reference-chain normalization parity","A1_display;B1_display;C1_bool;formula_bar_all","seed","excel","Checks formula-only vs reference materialization drift."
"FP2-012","FP-B","Reference propagation of underflow candidate","A1 formula: =-1E-307/1E20","B1 formula: =A1","C1 formula: =ABS(B1)","A1:==-1E-307/1E20|B1:==A1|C1:==ABS(B1)","calculate","A1","A1|B1|C1","Reference-chain behavior vs direct formula evaluation","A1_display;B1_display;C1_display","seed","excel","Feeds ABS edge interpretation."
"FP2-013","FP-B","Reference propagation of overflow error","A1 formula: =(10^307)*10","B1 formula: =A1","C1 formula: =ISERROR(B1)","A1:==(10^307)*10|B1:==A1|C1:==ISERROR(B1)","calculate","A1","A1|B1|C1","Error propagation consistency across references","error_code_A1;error_code_B1;C1_bool","seed","excel","Verifies stable error class."
"FP2-014","FP-B","Reference propagation of invalid operation","A1 formula: =0/0","B1 formula: =A1","C1 formula: =ISERROR(B1)","A1:==0/0|B1:==A1|C1:==ISERROR(B1)","calculate","A1","A1|B1|C1","Error propagation consistency across references","error_code_A1;error_code_B1;C1_bool","seed","excel","Paired with FP2-013."
"FP2-015","FP-B","Formula-vs-reference equivalence for tiny positive","A1 formula: =1E-307/1000","B1 formula: =A1*1E20","C1 formula: =(1E-307/1000)*1E20","A1:==1E-307/1000|B1:==A1*1E20|C1:==(1E-307/1000)*1E20","calculate","A1","A1|B1|C1","Comparison parity between formula-only and referenced results","B1_display;C1_display;B1_eq_C1","seed","excel","Distinguishes internal retention from display rounding."
"FP2-016","FP-B","Formula-vs-reference equivalence for tiny negative","A1 formula: =-1E-307/1000","B1 formula: =A1*1E20","C1 formula: =(-1E-307/1000)*1E20","A1:==-1E-307/1000|B1:==A1*1E20|C1:==(-1E-307/1000)*1E20","calculate","A1","A1|B1|C1","Comparison parity including sign behavior","B1_display;C1_display;B1_eq_C1","seed","excel","Sign-specific twin of FP2-015."
"FP2-017","FP-C","Interop injected +Infinity","XLL/UDF harness required","A1 action: UDF returns +inf","none","A1:==OXFP_POS_INF()","calculate","A1","A1","Interop normalization to worksheet surface","display_value;error_code;dependent_formula_outcome","ready","excel","Needs explicit harness and return-type metadata."
"FP2-018","FP-C","Interop injected -Infinity","XLL/UDF harness required","A1 action: UDF returns -inf","none","A1:==OXFP_NEG_INF()","calculate","A1","A1","Interop normalization to worksheet surface","display_value;error_code;dependent_formula_outcome","ready","excel","Sign-aware infinity mapping."
"FP2-019","FP-C","Interop injected quiet NaN","XLL/UDF harness required","A1 action: UDF returns qNaN payload A","none","A1:==OXFP_QNAN(1)","calculate","A1","A1","Interop normalization to worksheet surface","display_value;error_code;dependent_formula_outcome","ready","excel","Track payload preservation or erasure."
"FP2-020","FP-C","Interop injected alternate quiet NaN","XLL/UDF harness required","A1 action: UDF returns qNaN payload B","none","A1:==OXFP_QNAN(2)","calculate","A1","A1","NaN payload differentiation behavior","display_value;error_code;A_vs_B_difference","ready","excel","Compares payload observability."
"FP2-021","FP-C","Interop injected signaling NaN","XLL/UDF harness required","A1 action: UDF returns sNaN","none","A1:==OXFP_SNAN(1)","calculate","A1","A1","Signaling NaN handling path","display_value;error_code;dependent_formula_outcome","ready","excel","Verify if converted before worksheet exposure."
"FP2-022","FP-C","Interop injected negative zero","XLL/UDF harness required","A1 action: UDF returns -0.0","none","A1:==OXFP_NEG_ZERO()","calculate","A1","A1","Interop signed-zero observability","display_value;formula_bar;text_export","ready","excel","Tests whether sign bit survives ingress."
"FP2-023","FP-D","Save/reload tiny positive","A1 formula: =1E-307/1E13","Save workbook, reopen, recalc","none","A1:==1E-307/1E13","save_reopen_recalc","A1","A1","Persistence stability across save/load","pre_save_display;post_load_display;dependent_compare","seed","excel","Workbook persistence lane."
"FP2-024","FP-D","Save/reload tiny negative","A1 formula: =-1E-307/1E13","Save workbook, reopen, recalc","none","A1:==-1E-307/1E13","save_reopen_recalc","A1","A1","Persistence stability with sign candidate","pre_save_display;post_load_display;dependent_compare","seed","excel","Sign-sensitive persistence lane."
"FP2-025","FP-D","Save/reload overflow error","A1 formula: =(10^307)*100","Save workbook, reopen, recalc","none","A1:==(10^307)*100","save_reopen_recalc","A1","A1","Error-class persistence","pre_save_error;post_load_error","seed","excel","Verifies error class survives persisted formula."
"FP2-026","FP-D","CSV round-trip near-zero value","A1 value from formula then paste-values","Export CSV and re-import","none","A1:==1E-307/1000","csv_roundtrip_values","A1","A1","Text serialization normalization effects","before_export_display;csv_text;after_import_display","seed","excel","Tests sheet-boundary text normalization."
